commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260508-122416-smoke-v4_plus_presence_flags	smoke	xgboost_v5	v4_plus_presence_flags	48299.246023	5011.589350		1557.545350	revert	smoke_laneA_presence_flags	Smoke Lane A: v4 W''''' base + presence flags (binary is_present indicators) for top-importance numeric fields (built_area, house_area, land_area, apartment_area, num_premises, num_houses, num_apartments). Tests whether missingness PATTERN carries signal beyond xgboost's native missing handling.
20260508-122419-smoke-v4_plus_id_token_counts	smoke	xgboost_v5	v4_plus_id_token_counts	48801.898669	4890.915783		701.798609	revert	smoke_laneB_id_token_counts	Smoke Lane B: v4 W''''' base + bounded-derived id token counts: num_parcel_ids = count(comma tokens in parcel_ids) and num_transferred_parcel_ids. Captures transaction scale/complexity orthogonal to area features. No raw IDs used.
20260508-122421-smoke-v4_plus_commune_frequency	smoke	xgboost_v5	v4_plus_commune_frequency	48336.922406	4934.642996		700.482693	revert	smoke_laneC_commune_frequency	Smoke Lane C: v4 W''''' base + commune_first_freq (fold-safe count of commune_first level in train fold). Distinct from commune-level TE (which failed Lane C in v4 due to noisy 36k means) — frequency signal measures market liquidity, not mean price. Trees can use it to weight reliability of cat-derived signals.
20260508-141116-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	48411.821346	4947.956569		720.544507	revert	deepen_iter4_cadastral_te20	Deepen iter4: add fold-safe cadastral_first TE smooth=20 to v4 anchor. Section level (846 levels) is the untested middle ground between commune (36k means failed, v4 Lane C) and dept (96 means tied, v4 iter2). Best chance for TE to clear noise at this cardinality.
20260508-142447-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47568.604252	5023.382961		1984.793212	revert	deepen_iter5_3seeds	Deepen iter5: 3-seed averaging on v4 anchor. Replace single-seed predict with mean of seeds {42, 100, 200} for both global and per-type sub-models. Variance reduction. Distinct from v4 iter12 (3-seed at n_est=500); v5 anchor n_est=4000 has cv_mae_std ~5244 (vs v4 iter11 std ~4922), so seed effect may now exceed noise band.
20260508-150002-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47392.216158	5328.153506		538.032160	revert	deepen_iter6_per_region_submodels	Deepen iter6: replace per-type sub-models with per-region sub-models (top 5 regions by sample count). Tests whether geographic specialization captures more signal than property-type specialization. Same cost as anchor (still 6 model fits per fold).
20260508-151054-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47135.836219	5213.640946		746.319362	revert	deepen_iter7_submodel_depth8	Deepen iter7: per-type sub-models trained with max_depth=8 (vs global's max_depth=6). Sub-models see smaller per-type slices; v4 iter26 tested smaller sub-model depth=4 and tied. Untested direction is BIGGER sub-model capacity to capture richer type-specific interactions.
20260508-152527-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	48028.873092	5050.229983		1022.492127	revert	deepen_iter8_hgb_blend50	Deepen iter8: blend v4 anchor predictions 50/50 with HistGradientBoostingRegressor(absolute_error). Tests cross-family model diversity -- HGB and XGB have different histogramming and split criteria. v4 iter18 heterogeneous-XGB ensemble failed at n_est=500; this is cross-family blend at v4 capacity.
20260508-154428-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	46978.021083	5246.892228		810.250494	keep	deepen_iter9_top10_submodels	Deepen iter9: extend per-type sub-models from top 5 to top 10 types. v4 iter23 extended from 2 to 5 (-57 lift); the next-tier types may have enough samples to add similar marginal lift even though smaller.
20260508-160016-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	46909.141746	5296.853264		1158.000829	keep	deepen_iter10_top10_nest5000	Deepen iter10: ON TOP OF iter9 (top-10 sub-models, KEPT), bump n_estimators 4000->5000 in BOTH global and sub-models. v4 iter38 tested n_est=5000 alone (-66 lift, within noise); compounding with iter9's -130 may clear noise band cumulatively.
20260508-162111-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	48380.323907	4872.035552		1413.894539	revert	deepen_iter11_lr04_nest6250	Deepen iter11: ON TOP OF iter10 (top10 sub-models + n_est=5000 KEPT), test mechanically-paired knob lr=0.04 + n_est=6250 (lr*n_est=250 same step budget as iter10's 0.05*5000=250). Slower learning at fixed step budget often extracts more signal.
20260508-164635-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47030.071357	5187.331242		1452.507252	revert	deepen_iter12_blend04	Deepen iter12: ON TOP OF iter10 (top10 + n_est=5000 KEPT), change BLEND ratio 0.3 -> 0.4 for sub-model contribution. v4 ablate showed sub-models contribute marginally (+285 when dropped); raising blend weight tests whether more sub-model influence helps now that there are 10 sub-models (vs v4's top 5). Single knob.
20260508-171239-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47933.364028	5012.294173		962.190539	revert	deepen_iter13_subsample07	Deepen iter13: ON TOP OF iter10 (top10 + n_est=5000), test subsample 0.8 -> 0.7 (single knob). Untested in xgboost_v4 chain. Lower subsample = more variance per tree = potentially better generalization in saturated capacity regime.
20260508-173019-deepen-v4_anchor	deepen	xgboost_v5	v4_anchor	47790.959639	3596.403635		1072.605677	confirm	confirm_iter10_seed2026	Stage 4 confirm seed=2026 of iter10 (top10 sub-models + n_est=5000 on v4 anchor). Two-seed agreement check before any global-champion claim.
