commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260509-195547-smoke-all_numeric	smoke	gradient_boosting_sklearn	all_numeric	57603.885927	5025.894986		28.587958	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=3,subsample=0.8),all_numeric,drop_id_and_geo_strings	Smoke lane A retry: sklearn GradientBoostingRegressor(loss=absolute_error, n_est=100, lr=0.1, max_depth=3, subsample=0.8) on all_numeric (37 cols after dropping region_code, parcel_ids, transferred_parcel_ids, commune_codes, cadastral_sections). Drops applied to fix prior float32 overflow precondition crash.
20260509-195905-smoke-numeric_plus_basic_cats	smoke	gradient_boosting_sklearn	numeric_plus_basic_cats	57111.240438	5119.164533		45.707888	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=3,subsample=0.8),numeric_plus_basic_cats,ohe(property_type+transaction_type)	Smoke lane B: lane-A anchor plus one-hot encoded property_type (25 cats) and transaction_type (6 cats). Tests whether low-cardinality property/transaction class signal lifts GBR over the numeric-only baseline. Single-knob: feature scope only; model hyperparameters unchanged.
20260509-200605-smoke-geo_signal	smoke	gradient_boosting_sklearn	geo_signal	55415.360986	4841.206199		31.177500	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=3,subsample=0.8),geo_signal,commune_te(k=20)	Smoke lane C: lane-A anchor plus one fold-safe smoothed mean-target encoding of commune_codes (~196 unique). Encoding fit only on each fold's training split (k=20 smoothing toward global train mean, global fallback for unseen communes). Single-knob: feature scope only; model hyperparameters unchanged.
20260509-201207-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	55117.552048	4972.123416		46.757340	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=3,subsample=0.8),geo_signal,commune_te(k=20),target=log1p	Deepen iter1: train sklearn GBR on log1p(property_value) instead of raw target, invert with expm1 before scoring. Single-knob (target transform). Hypothesis: heavy right-skew of property_value (max ~38M, median ~145k) makes log target a stable lift even when loss=absolute_error already handles outliers in raw space. Same recipe otherwise as smoke geo_signal anchor.
20260509-201610-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	54588.053958	4641.281609		90.722287	keep	GBR(loss=absolute_error,n_est=300,lr=0.05,max_depth=3,subsample=0.8),geo_signal,commune_te(k=20)	Deepen iter2: mechanically paired capacity bump n_estimators=300 + learning_rate=0.05 (counted as one knob; doubles step budget then halves step size to keep total ~ comparable). Anchored on smoke geo_signal (raw target restored after iter1 log1p tie). Single-knob (capacity pair). Hypothesis: n_est=100 underfits 27k rows; more boosting stages with smaller step should improve fit without overfitting given subsample=0.8 stochasticity.
20260509-202125-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	54102.890912	4723.246186		41.013232	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=4,subsample=0.8),geo_signal,commune_te(k=20)	Deepen iter3: max_depth 3 -> 4 on smoke geo_signal anchor. Tests interaction-depth bottleneck (vs iter2 capacity-count which tied). Single hyperparameter knob; n_estimators=100, lr=0.1, subsample=0.8 unchanged. If this also ties, capacity at this feature set is exhausted and iter4 should pivot to feature scope (cadastral TE or area_density_ratios).
20260509-203134-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	53653.441447	4911.406514		51.902405	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=5,subsample=0.8),geo_signal,commune_te(k=20)	Deepen iter4: max_depth 4 -> 5 chained on iter3 (new family best 54102.89). Single hyperparameter knob. Tests whether depth keeps paying after the clear iter3 win. If this ties, depth is saturated and iter5 pivots to feature scope.
20260509-203703-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	53941.167293	4741.888021		47.903010	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=4,subsample=0.8),geo_signal,commune_te(k=20)+cadastral_te(k=20)	Deepen iter5: anchor on iter3 (max_depth=4 family best). Add second fold-safe smoothed mean-target encoding column for cadastral_sections (846 unique, long-tail with 79% having <5 records). Single-knob: feature scope (+1 column). Same smoothing rule k=20. Hypothesis: section captures within-commune variation; smoothing handles the long tail.
20260509-203939-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	54166.886764	4539.112586		47.226226	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=4,subsample=0.8),geo_signal,commune_te(k=20),area_density_ratios	Deepen iter6: anchor iter3 (max_depth=4 family best) + 3 size-normalized domain ratios as one hypothesis_unit -- built_area/num_premises, land_area/num_lots, num_commercial/num_premises (zero-safe via small-eps denominators). Single-knob (feature scope: 1 unit, 3 columns).
20260509-204222-deepen-geo_signal	deepen	gradient_boosting_sklearn	geo_signal	54165.883590	4705.712013		43.108214	keep	GBR(loss=absolute_error,n_est=100,lr=0.1,max_depth=4,subsample=0.8),geo_signal,commune_te(k=5)	Deepen iter7: smoothing-k 20 -> 5 on commune target encoding. Single preprocessing knob (smoothing constant). Same encoding strategy, fold-safety, and feature shape; only the k value changes.
